geom_type,lon,lat,@id,addr:housenumber,addr:street,amenity,building,check_date,contact:phone,contact:website,emergency,healthcare,name,operator:type,@geometry,wikidata,wikipedia,healthcare:speciality,short_name,website,addr:city,height,start_date,surface,alt_name,operator,health_facility:type,level,opening_hours,source,fixme,addr:postcode,name:pcm,mobile,contact:facebook,description,email,payment:cash,payment:debit_cards,phone,facility_manager,source:position,status,users_PLWD,users_boy,users_elderly,users_female,users_girl,users_men,facility_use,contact:instagram
Point,3.3710344,6.5113657,way/795581891,,,hospital,,,,,,hospital,Lagos Emergency Operations Center,,center,,,,,,,,,,,eHealth Africa,support_group_home,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4642416,6.4285584,way/802983686,18,Olatunji Moore Street,hospital,,,,,,,Medison Specialist Women's Hospital,,center,,,,,,lagos,,,,,Dr L. A. Akinola,,"0,1",,,,,,,,,,,,,,,,,,,,,,,
Point,3.3734426,6.5107918,way/803289541,,Harvey Road,hospital,,,,,,hospital,Lagos Health Center Harvey Road,,center,,,,,,,,,,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,
Point,3.3731926,6.5099506,way/803294342,,Murtala Mohammed Way,hospital,,,,,,hospital,Federal Psychiatric Hospital Yaba,,center,,,,,,,,,,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,
Point,3.1532235,6.464756,way/803337410,,,hospital,,,,,,hospital,Ilogbo-Center Hospital,,center,Q131840015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3803186,6.5292043,way/803347476,,,hospital,,,,,,hospital,MARANATHA MEDICAL CENTER,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3299951,6.4978539,way/803349307,,,hospital,hospital,,,,,,St. LukeÃ¢Â€Â˜s medical center,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.387415,6.4927587,way/803362520,,,hospital,,,,,,,Ayeitoro PHC,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3806661,6.4841274,way/803364243,,,hospital,hospital,,,,,hospital,Federal Medical Centre,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3370055,6.4474224,way/888425357,,,hospital,yes,,,,,,Abbey Medical Centre,,center,,,,,,,,,,,,,,,Google Street view,,,,,,,,,,,,,,,,,,,,,
Point,3.4642786,6.4284248,way/1272911129,18,Olatunji Moore Street,hospital,,,,,,,Medison Specialist Women's Hospital,,center,,,,,,lagos,,,,,Dr L. A. Akinola,,"0,1",,,,,,,,,,,,,,,,,,,,,,,
Point,3.4151379,6.4226458,way/1530842305,,,hospital,,,,,,hospital,Paelon Memorial Hospital,,center,Q125847841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3974544,6.5929713,node/4872475575,,,hospital,,,,,,,Rojafia Clinic,,,,,,,,,,,,,,,,,,check location,,,,,,,,,,,,,,,,,,,,
Point,3.2283304,6.5906253,node/7334681885,,Balogun Crescent,hospital,,,,,,,Balogun Primary Healthcare Center.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.5852178,6.4627777,node/8813093194,,,hospital,,,,,,,Eti-Osa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3869161,6.5760257,node/10232587966,13b,Muri Folami Street,hospital,,,,,,hospital,Pink Clinic Nigeria,private,,,,gynaecology;blood_check;fertility,,,Ogudu,,,,,Linda Keku,,,,,,100231,PinkClinic,,,,,,,,,,,,,,,,,,
Point,3.6295577,6.4731522,node/11121934213,,,hospital,,,,,,hospital,Safeway hospital,,,,,,,,,,,,,,,,,,,,,+2348077509043,,,,,,,,,,,,,,,,,
Point,3.6309711,6.4736067,node/11121934221,,,hospital,,,,,,hospital,Caremax Hospital,,,,,,,,,,,,,,,,,,,,,+2349033365818,,,,,,,,,,,,,,,,,
Point,3.6325043,6.4722606,node/11121946405,,,hospital,,,,,,hospital,Sangotedo Primary Health Care Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3722595,6.5657924,node/11879397885,13,Okunfolami Street,hospital,,,,,no,alternative,The Tent Wellness Centre,private,,,,chiropractic;acupuncture;traditional_chinese_medicine;aromatherapy;fertility;herbalism;naturopathy;unani;body,,https://www.tentwellness.com/,Anthony Village,,,,,DTIM Al-Ameen-Lawal,,,Mo-Sa 09:00-18:00,local knowledge,,100232,,+2349130002226,www.facebook.com/tentwellness,"The Tent Wellness Centre (TTWC) is a Natural Medicine centre with a mission to promote, preserve and restore health of our clients by providing patient focused treatment protocols based on natural remedies in line with global best practices and standards.",tentwellnesscentre@gmail.com,yes,yes,+2349130002226,,,,,,,,,,,
Point,3.1702262,6.5059412,node/11886853246,,,hospital,,,,,,,Grace Olambipo Clinic,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1716183,6.5023249,node/11886853247,,,hospital,,,,,,,Isashi Primary Health Care Center,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.170768,6.4997452,node/11886853248,,,hospital,,,,,,,Lagos State Ministry Of Health Belinda Convalscent And Fertility Centre,,,,,,,,,,,,,government,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1718919,6.4955932,node/11886853249,,,hospital,,,,,,,Pioneer Medical Clinic,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1717899,6.4955066,node/11886853250,,,hospital,,,,,,,Leverage Hospital Specialist Clinic,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1711113,6.496422,node/11886853251,,,hospital,,,,,,,Tower Of Glory Hospital,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1740108,6.4922566,node/11886853252,,,hospital,,,,,,,Noble Medical Digonistic Centre,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1999826,6.4902392,node/11886853253,,,hospital,,,,,,,Grace Land Medical Center,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.2000443,6.4927656,node/11886853254,,,hospital,,,,,,,Pa Clement Ogunsusi,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.2065956,6.5029858,node/11886853255,,,hospital,,,,,,,Adis Bunm Trado Medical Hospital And Maternity Home 14 Nnaema Uzor Street Off Summit Light Road,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.2067874,6.5004514,node/11886853256,,,hospital,,,,,,,Ndieze Homeopathic Medical Services 20 Drchiwumba Off Summit Light Road,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.198207,6.5023249,node/11886853257,,,hospital,,,,,,,Wisdom Hospital And Maternity,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1964502,6.4971682,node/11886853258,,,hospital,,,,,,,Betheland Hospital,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1438789,6.4944299,node/11886996045,,,hospital,,,,,,,Ademola Medical Center,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.125436,6.4943833,node/11886996046,,,hospital,,,,,,,Hyssop Eye Clinic,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.125838,6.495155,node/11886996047,,Lagos-Badagry Expressway,hospital,,,,,,hospital,Ore Ofe Hospital Ijanikin,,,Q102175365,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1184435,6.4943433,node/11886996048,,,hospital,,,,,,,Femola Hospital,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1186245,6.497404,node/11886996049,,,hospital,,,,,,,Ijanikin Primary Health Care Center By Ile Oba Bstop Lagos Badagry Express Road,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1415319,6.4937197,node/11886996050,,,hospital,,,,,,,Angelic Care Foundation Maternity,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.139472,6.4949056,node/11886996051,,,hospital,,,,,,,Ever Life Hospital,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1240956,6.4769146,node/11887050496,,,hospital,,,,,,,Era Primary Health Care Center,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1232701,6.4769579,node/11887050497,,,hospital,,,,,,,Oriowo Maternity Home,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1053704,6.4607312,node/11887050498,,,hospital,,,,,,,Goodness Medical Center,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1150451,6.4666106,node/11887050499,,,hospital,,,,,,,Imude Primary Health Care Center,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.158218,6.4768459,node/11887050500,,,hospital,,,,,,,Angelic Care Health Center 124 Adaloko Road By Pako Bstop,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1423406,6.4766967,node/11887050501,,,hospital,,,,,,,Devital Care Hospital,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1539707,6.4884476,node/11887050502,,,hospital,,,,,,,Denow Ayetoro Medical Center,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1532773,6.4869359,node/11887050503,,,hospital,,,,,,,Ketu Medical Clinic,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.0292305,6.4042557,node/11887082163,,,hospital,,,,,,,Primary Health Building Dadiluwi Ilaje Riverine,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.0736023,6.4078114,node/11887087044,,,hospital,,,,,,hospital,Taffi Awori Primary Health Centre,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1512415,6.4730095,node/11887482478,,,hospital,,,,,,,Alhayat Hospital 2ekuweme Street Off Ogo Oluwa Street By Green And White Bus Stop,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1429884,6.4700726,node/11887482479,,,hospital,,,,,,,God Cures Hospital,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.140227,6.4601775,node/11887512842,,,hospital,,,,,,,Healing Land Hospital And Maternity,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1412986,6.4670343,node/11887512843,,,hospital,,,,,,,Ejiwunmi Tradomedical,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1443389,6.4610151,node/11887512844,,,hospital,,,,,,,Goodness Medical Services,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1442732,6.461792,node/11887512845,,,hospital,,,,,,hospital,Shibiri Primary Health Centre,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1529447,6.4658497,node/11887512846,,,hospital,,,,,,,Olutayo Nursing Home,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1534101,6.4648342,node/11887512847,,,hospital,,,,,,hospital,Illogbo Central Hospital Illogboope,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1538205,6.4616534,node/11887512848,9,Abbi Street By Rasaq Bstop Off Bishiri Ajangbadi Ojo,hospital,,,,,,hospital,Muskat Hospital,,,Q131838989,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1405167,6.4593733,node/11887518928,,,hospital,,,,,,,Vineyard Convalescent Hospital,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1535174,6.457593,node/11887518929,,,hospital,,,,,,,Edo Convalescent Homeclinic And Easy Delivery,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1439942,6.4534686,node/11887518930,,,hospital,,,,,,,Munidola Maternity Center,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1392762,6.4547106,node/11887518931,,,hospital,,,,,,,Grace Mobolaji Maternity,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.131361,6.4584845,node/11887518933,,,hospital,,,,,,,Summy Indeel Laboratary,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1401533,6.4603501,node/11887555938,,,hospital,,,,,,,Healing Land Hospital And Maternity,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1465262,6.443889,node/11888950304,,,hospital,,,,,,,Primary Health Center Ese Ofin Riverine,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1449088,6.4181773,node/11888969820,,,hospital,,,,,,hospital,Irewe Primary Care Health Center Osulu Kingdom,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1653258,6.4870651,node/11889023436,,,hospital,,,,,,,Chidove Homoeopathic Medical Center,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1736923,6.4864475,node/11889023437,,,hospital,,,,,,,Mainframe Hospital And Maternity Centre,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1587236,6.4780452,node/11889023438,,,hospital,,,,,,,Divine Favour Maternity Center Adoloko,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1628032,6.476177,node/11889023439,,,hospital,,,,,,,Emmanuel Power Hospital,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1783828,6.4711933,node/11889023440,,,hospital,,,,,,,Abodunrin Medical Center,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1616921,6.4709387,node/11889023441,,,hospital,,,,,,,Redeem Medical Center Annex,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1593271,6.4581407,node/11889023442,,,hospital,,,,,,,Conner Stone Medical Center,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1800444,6.46757,node/11889023443,,,hospital,,,,,,,Okoko Central Hospital Jakande New Site,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1720206,6.4647236,node/11889023444,,,hospital,,,,,,,Dikue Medical Centre,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1728575,6.4621438,node/11889023445,,,hospital,,,,,,,Sabo Crown Hospital,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1753948,6.4617147,node/11889023446,,,hospital,,,,,,,Garden Hospital Sabo Oniba Town,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1770015,6.458735,node/11889023447,,,hospital,,,,,,,Deelshaddai Health Canter Home,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1627616,6.4515789,node/11889046391,,,hospital,,,,,,,Igbede Primary Health Center Igbede Bstop Ojo Igbede,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1889132,6.4648835,node/11889139972,,,hospital,,,,,,,Blessed Mary Natural Clinic And Maternity,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.181698,6.4665519,node/11889139973,,,hospital,,,,,,,Redeemed Medical Center,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1853673,6.4669943,node/11889139974,,,hospital,,,,,,,Ifeoluwa Maternity Home,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1831571,6.4659549,node/11889139975,,,hospital,,,,,,,Kena Hospital,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1872247,6.4671796,node/11889139976,,,hospital,,,,,,,Kemberi Primary Health Center,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1949793,6.4702271,node/11889139977,,,hospital,,,,,,,Kiladejo Hospital,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1910831,6.4707042,node/11889139978,,,hospital,,,,,,,Okokomaiko Primary Health Care Board,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1882533,6.4821828,node/11889139979,,,hospital,,,,,,,Hon C O Ojelabi Health Center Igbo Elerin,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1872851,6.4835473,node/11889139980,,,hospital,,,,,,,Bossom Hospital And Maternity,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1867862,6.4835926,node/11889139981,,,hospital,,,,,,,Bolus Coudlescent Center,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1852627,6.4862936,node/11889139982,,,hospital,,,,,,,Ancel Hospital,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.2021928,6.4568267,node/11889159163,,,hospital,,,,,,,Fellowship Clinic And Maternity Center,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.2022692,6.4560805,node/11889159164,,,hospital,,,,,,,God's Goal Hospital,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1849846,6.458504,node/11889159165,,,hospital,,,,,,hospital,Divine Release Maternity Home,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1895582,6.4535725,node/11889159166,,,hospital,,,,,,,Genesis Health Center,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.2290417,6.4590801,node/11889190332,,,hospital,,,,,,,Bonne Fante Hospital,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.2229839,6.4592327,node/11889190333,,,hospital,,,,,,,Safe Healing Nursing Home,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.2200912,6.4585031,node/11889190334,,,hospital,,,,,,,Alexander Memorial Hospital Olugbemi Agric,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.2211815,6.4562244,node/11889190335,,,hospital,,,,,,,St David Med Center,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.2276148,6.4463071,node/11889190336,,,hospital,,,,,,,Tedi Primary Health Center Ojo,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.2218426,6.4457141,node/11889190337,,,hospital,,,,,,,Divine Gift Medical Centre Hospital,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.2142627,6.44454,node/11889190338,,,hospital,,,,,,,New Nigeria Hospital,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.2276791,6.4696408,node/11889212942,,,hospital,,,,,,,MRS Hospital,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.2610545,6.6785672,node/11890939739,,,hospital,,,,,,,Heaven Hospital Alagbado,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.2597651,6.6778665,node/11890939740,,,hospital,,,,,,,Agbado Okeodo Primary Health Center,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.2541525,6.6727483,node/11890939741,,,hospital,,,,,,,Oke Ilo Health Center,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.254056,6.6698558,node/11890939742,,,hospital,,,,,,,New Merit Hospital Limited,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.251009,6.6669253,node/11890939743,,,hospital,,,,,,,Taqwa Hospital,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.2446092,6.6503625,node/11891069740,,,hospital,,,,,,,Alaso Amikanle Primary Health Care Center,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.271031,6.6461751,node/11891069741,,,hospital,,,,,,,First Wave Medical Center,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.2695994,6.6487001,node/11891069742,,,hospital,,,,,,,Crescent Hospital,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.2622528,6.6499389,node/11891069743,,,hospital,,,,,,,Agbenuba Health Centre,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.2601178,6.6542615,node/11891069744,,,hospital,,,,,,,Surulere Primary Health Care Center,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.2575589,6.6579913,node/11891069745,,,hospital,,,,,,,Cavesbury Private Hospital,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,
