geom_type,lon,lat,@id,bench,bin,bus,covered,highway,lit,local_ref,name,public_transport,ref,tactile_paving,wheelchair,addr:country,operator,shelter,network,check_date,check_date:bench,check_date:bin,check_date:shelter,check_date:tactile_paving,departures_board,mapillary,ref:signed,note,transportation,pole,phone,alt_name,bus_stop:category,was:highway,survey:date,fixme,amenity,facility_manager,source:position,status,users_PLWD,users_boy,users_elderly,users_female,users_girl,users_men,name:signed,name:en
Point,-8.6763618,37.1072459,node/266316091,yes,yes,yes,yes,bus_stop,yes,2,Terminal Rodoviário,platform,2,no,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3674144,6.5417787,node/1423114427,,,,,bus_stop,,,BRT Palmgrove,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.367578,6.5465534,node/1423114428,,,,,bus_stop,,,BRT Obanikoro,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3645844,6.5059942,node/1423114429,,,,,bus_stop,,,BRT Barracks,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3864292,6.5983761,node/1423114431,,,yes,,bus_stop,,,BRT Ketu,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3676887,6.5249219,node/1423114432,,,yes,,bus_stop,,,Fadeyi Bus Stop,platform,,,,NG,LAMATA,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3782136,6.5001473,node/1513671680,,,,,bus_stop,,,Alagomeji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3801169,6.4970901,node/1513671684,,,,,bus_stop,,,Casino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3774681,6.5021015,node/1513671690,,,,,bus_stop,,,Spencer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.2956935,6.599954,node/1577482636,,,yes,,bus_stop,,,Bakery,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.295816,6.6001365,node/1577482674,,,yes,,bus_stop,,,Bakery,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.2971865,6.6004622,node/1577482955,,,yes,,bus_stop,,,Micom,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.2974606,6.6004652,node/1578567850,,,yes,,bus_stop,,,Micom,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6757698,37.1130845,node/1594773197,yes,yes,yes,,bus_stop,yes,,Sitio da Ponte,platform,,no,,,ONDA,yes,Transportes Urbanos de Lagos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6733198,37.0954088,node/1594773415,yes,,yes,,bus_stop,,,Bombeiros,platform,,,,,ONDA,yes,Transportes Urbanos de Lagos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6733076,37.1192856,node/1595075760,yes,no,yes,,bus_stop,,,Telheiro - EN125,platform,Telheiro - EN125 3 rosa,no,,,municipal,yes,onda,2025-02-08,2025-02-08,2025-02-08,2025-02-08,2025-02-08,timetable,939067973594719,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6633847,37.1360837,node/1595075763,,,yes,,bus_stop,,,Torre (nascente),platform,Torre (nascente) 3 onda rosa,,,,municipal,yes,onda,,,,,,timetable,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.668006,37.13066,node/1706914587,yes,no,yes,,bus_stop,yes,,Chinicato - EN125 (sul),platform,,no,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.7227183,37.1550214,node/1710554488,no,no,,,bus_stop,yes,,Paraíso,platform,,no,,,,no,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,
Point,-8.717677,37.1494983,node/1710555008,no,no,,,bus_stop,no,,Poço do Vale,platform,,no,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3998072,6.6057316,node/2335292454,,,yes,,bus_stop,,,Mile 12 Bus Stop,stop_position,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.251099,6.5658262,node/2541435553,,,yes,,bus_stop,,,Oko-Filling,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3866909,6.4629402,node/2541613435,,,,,bus_stop,,,Idumota,,,,,,,,,,,,,,,,,A major bus stop on the Lagos Island,,,,,,,,,,,,,,,,,,,,
Point,-8.6714169,37.1561022,node/2606427934,no,,yes,,bus_stop,,,Quinta das Achadas / Ponte de Moira,platform,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.7686133,37.0949467,node/2975038459,yes,,,,bus_stop,no,,Almádena,platform,,,,,EVA,yes,,,,,,,,,,,bus_stop,,,,,,,,,,,,,,,,,,,
Point,3.2722601,6.5462266,node/3085114169,,,,,bus_stop,,,Synagogue Bus-Stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.5297134,6.4410322,node/3095002640,,,,,bus_stop,,,Chevron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.5320166,6.4417146,node/3095002719,,,,,bus_stop,,,Chevron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.2419941,6.4991475,node/3742522981,,,yes,,bus_stop,,,Last bus stop,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.737248,37.0996778,node/3786097412,no,no,yes,,bus_stop,,,Espiche,platform,,,,,ONDA,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6748119,37.1072145,node/3786100086,yes,no,yes,,bus_stop,yes,,Avenida dos Descobrimentos - Marina,platform,,no,,,ONDA,yes,Transportes Urbanos de Lagos,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,
Point,-8.6824743,37.1002002,node/3786100287,yes,,yes,,bus_stop,,,Escola Júlio Dantas (Sul),platform,,,,,ONDA,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6883513,37.101236,node/3786102721,no,no,yes,,bus_stop,,,Centro de Saúde,platform,,,,,ONDA,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.7047856,37.1624581,node/4236173623,no,yes,,,bus_stop,,,Colinas Verdes,platform,,,,,ONDA,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.2452682,6.4992937,node/4348858649,,,yes,,bus_stop,,,Iya Segun bus stop,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.383897,6.5095116,node/4394960000,,,,,bus_stop,,,Onike R / A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6732754,37.1225191,node/4600032909,,,yes,,bus_stop,,,Aeródromo - EN125,platform,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6730144,37.1228329,node/4600032910,no,,yes,,bus_stop,,,Aeródromo - EN125,platform,,,,,,no,,,,,2022-09-06,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6716082,37.1086939,node/4600033551,yes,no,yes,,bus_stop,yes,,Estação CP,platform,,no,,,ONDA,yes,Transportes Urbanos de Lagos,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,
Point,-8.6879386,37.1078063,node/4600216775,,,yes,,bus_stop,,,Cemitério Novo,platform,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,
Point,-8.6879675,37.1076134,node/4600216776,yes,,yes,,bus_stop,,,Cemitério Novo,platform,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6728974,37.1040789,node/4611962298,yes,no,yes,,bus_stop,yes,,Portas de Portugal - Mercado,platform,,no,,,ONDA,yes,Transportes Urbanos de Lagos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.2156075,6.5291967,node/4720420511,,,,,bus_stop,,,Adexson Ilepo Busstop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6731704,37.0940785,node/4730643374,,,yes,,bus_stop,,,Lar J. Filipe Fialho (Norte),platform,,,,,ONDA,no,Transportes Urbanos de Lagos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6732388,37.0939373,node/4730643375,yes,,yes,,bus_stop,,,Lar J. Filipe Fialho (Sul),platform,,,,,ONDA,yes,Transportes Urbanos de Lagos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4670081,6.4305929,node/5194462785,,,,,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4669598,6.4309154,node/5194462786,,,,,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4700022,6.4309502,node/5194462787,,,,,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4702002,6.4313941,node/5194462788,,,,,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4810817,6.4329767,node/5194462789,,,,,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4811464,6.432643,node/5194462790,,,,,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4832569,6.4332951,node/5194462791,,,,,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4833216,6.4329675,node/5194462792,,,,,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4898773,6.4342716,node/5194462793,,,,,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4899256,6.4339385,node/5194462794,,,,,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4921089,6.4345888,node/5194462796,,,,,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4921411,6.4341877,node/5194462797,,,yes,,bus_stop,,,,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.5018694,6.4360286,node/5194462798,,,,,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.5019341,6.4356857,node/5194462799,,,,,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.5039337,6.4363409,node/5194462800,,,,,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.5044969,6.4425184,node/5194462801,,,yes,,bus_stop,,,,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.5091629,6.4370797,node/5194462802,,,,,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.5092245,6.4367399,node/5194462803,,,,,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.5205213,6.4386993,node/5194462804,,,,,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.5205829,6.4383594,node/5194462805,,,,,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.5227519,6.4390299,node/5194462806,,,,,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.522832,6.4386931,node/5194462807,,,,,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.529829,6.4407177,node/5194462808,,,,,bus_stop,,,Chevron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.5319104,6.4419224,node/5194462809,,,,,bus_stop,,,Chevron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.325181,6.5538125,node/5206471624,,,,,bus_stop,,,Stop over bus stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3288226,6.5521983,node/5206477223,,,,,bus_stop,,,Ajao Estate main entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3291611,6.5520558,node/5212289128,,,,,bus_stop,,,Junction bus stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.6175314,6.4750816,node/5246332118,,,yes,,bus_stop,,,,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.734561,37.155309,node/5396505721,no,,,,bus_stop,,,Bensafrim Junta,platform,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.7592579,37.147955,node/5396506421,no,,yes,,bus_stop,,,Monte Figueiras,platform,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.7692647,37.1438338,node/5396506422,no,,yes,,bus_stop,,,Carrasqueira,platform,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.5896508,6.470832,node/5582073426,,,yes,,bus_stop,,,General Paint Bus Stop,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3572665,6.6154055,node/5649291344,,,yes,,bus_stop,,,Ikeja City Mall,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3569029,6.6153805,node/5649291345,,,yes,,bus_stop,,,Ikeja City Mall,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.408765,6.4376645,node/5661711530,,,yes,,bus_stop,,,Bonny Camp,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4095706,6.4381611,node/5661711531,,,yes,,bus_stop,,,Bonny Camp,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4076698,6.4377773,node/5661711532,,,yes,,bus_stop,,,Bonny Camp,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4074847,6.4374708,node/5661711533,,,yes,,bus_stop,,,phone tracking,platform,,,,,,,,,,,,,,,,,,,08166318737,,,,,,,,,,,,,,,,,
Point,3.4260352,6.4444127,node/5661711556,yes,no,yes,,bus_stop,,,Falomo,platform,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4258296,6.4446043,node/5661711557,yes,no,yes,,bus_stop,,,Falomo,platform,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4307082,6.4541624,node/5661711558,,,yes,,bus_stop,,,,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4310456,6.4542411,node/5661711559,,,yes,,bus_stop,,,,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3084254,6.5412545,node/5665683280,,,,,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4114056,6.430141,node/5673266187,,,yes,,bus_stop,,,,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4111437,6.4302597,node/5673266188,,,yes,,bus_stop,,,,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4789258,6.6735129,node/5674250721,,,,,bus_stop,,,Elele Bus stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4777726,6.6721319,node/5674250722,,,,,bus_stop,,,Lawyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.474762,6.6196284,node/5674250723,,,,,bus_stop,,,Ogolonto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4784523,6.6730292,node/5674250821,,,,,bus_stop,,,Agape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4759899,6.6566872,node/5674250822,,,,,bus_stop,,,Asolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4308879,6.4544702,node/5674250824,,,yes,,bus_stop,,,Golden Gate,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4781867,6.6726183,node/5674250921,,,,,bus_stop,,,Major,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4839309,6.6254126,node/5674251021,,,,,bus_stop,,,Agric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4351838,6.4454158,node/5676295239,,,yes,,bus_stop,,,,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.435917,6.4458661,node/5676295240,,,yes,,bus_stop,,,,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4182258,6.4363867,node/5703157712,,,yes,,bus_stop,,,Oniru,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4189453,6.4367405,node/5703157713,,,yes,,bus_stop,,,Oniru,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4266989,6.4391004,node/5729098591,,,yes,,bus_stop,,,Law School,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4249643,6.4388774,node/5729098592,,,yes,,bus_stop,,,Law School,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6522696,37.1505853,node/5752390427,yes,,yes,,bus_stop,,,Odiáxere - Escola 1° Ciclo (Norte),platform,Odiáxere - Esc. 1o Ciclo (norte) 3 Onda Rosa,,,,municipal,yes,Onda,,,,,,timetable,,,,,,,Odiáxere - Esc. 1° Ciclo (Norte),,,,,,,,,,,,,,,,
Point,-8.6598674,37.1468606,node/5752390432,yes,no,yes,,bus_stop,yes,,Urb. Varandas de S. Francisco,platform,,no,,,,yes,,,,,2025-02-08,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6659695,37.1326571,node/5752390437,no,no,yes,,bus_stop,,,,platform,,no,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
