geom_type,lon,lat,@id,amenity,building,name,@geometry,height,addr:city,addr:street,alt_name,brand,brand:wikidata,website,addr:housenumber,addr:postcode,atm,branch,branch:type,brand:website,brand:wikipedia,contact:facebook,contact:instagram,contact:linkedin,contact:phone,contact:youtube,opening_hours,operator,operator:wikidata,operator:wikipedia,ref,short_name,source:contact,source:opening_hours,official_name,addr:country,addr:state,building:levels,barrier,landuse,phone,contact:website,int_name,drive_through,cash_in,cash_out,check_date,contact:email,contact:twitter,internet_access,language:en,language:es,language:fr,language:it,language:pt,source:operator,operator:alt_name,wheelchair,contact:fax,operator:old_name,operator:old_name:short,ref_name,name:en,description,source,survey:date,facility_manager,source:position,status,air_conditioning,currency:NGN,payment:cash,payment:debit_cards
Point,3.4199757,6.4293688,way/595620082,bank,yes,Access Bank,center,11,Lagos,Adeola Odeku Street,Access Bank Adeola Odeku,Access Bank,Q4672418,https://www.accessbankplc.com/,,,,,,,en:Access Bank plc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4185177,6.4361847,way/599458863,bank,yes,Zenith Bank,center,17,,,,Zenith Bank,Q5978240,,,,,,,,en:Zenith Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4091682,6.434849,way/603511844,bank,yes,The Infrastructure Bank PLC,center,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3548474,6.5969451,way/625093259,bank,commercial,Keystone Bank,center,,Ikeja,Allen Avenue,,,,https://www.keystonebankng.com/,8,100281,,,,,,,,,,,,,,,,,,,,NG,Lagos,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3540652,6.5971813,way/625602955,bank,yes,UBA,center,,,,,UBA,Q513457,,,,,,,,,,,,,,,,,,,,,,United Bank for Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4437454,6.4343169,way/625644969,bank,yes,Fidelity Bank,center,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4455381,6.434721,way/625644997,bank,yes,Access Bank,center,15,Lagos,Abila Abiodun Oniru Road,Access Bank Lekki 1,,,https://www.accessbankplc.com/,,,,Lekki 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3537071,6.5988227,way/626246880,bank,yes,ASHA,center,,Ikeja,Allen Avenue,,,,,26,100281,,,,,,,,,,,,,,,,,,,,NG,Lagos,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3540655,6.5985601,way/626246886,bank,,Ecobank,center,,Ikeja,Allen Avenue,,Ecobank,Q930225,,20,100281,,,,,,,,,,,,,,,,,,,,NG,Lagos,,fence,commercial,+2347005000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3566774,6.4895627,node/639043695,bank,,GT Bank,,,Lagos,Bode Thomas Street,GT Bank Surulere Bode Thomas,,,,94,,yes,,,,,,,,,,,"Guaranty Trust Bank, Bode Thomas Branch",,,,,,,,,,,,,,https://www.gtbank.com/locate/atms/surulere-bode-thomas,Guaranty Trust Bank Plc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3565595,6.4895757,node/639049800,bank,,,,,,,,,,,,,,,,,,,,,,,,Afri Bank - Bode Thomas Branch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.430308,6.4314476,way/641988210,bank,yes,,center,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4488839,6.4355961,way/641988257,bank,yes,GT Bank,center,16,,,,GT Bank,Q579747,,,,,,,,,,,,,,,,,,,,,,Guaranty Trust Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3108733,6.4752158,way/652322136,bank,yes,Gt Bank,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4243374,6.4308962,way/653305661,bank,yes,FCMB,center,,Lagos,Sanusi Fafunwa Street,FCMB Sanusi Fafunwa,,,https://www.fcmb.com/,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4084047,6.4291372,way/662629705,bank,yes,First Bank,center,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3100544,6.6085232,way/746513661,bank,yes,UBA,center,,,,,UBA,Q513457,,,,,,,,en:United Bank for Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3109763,6.6095194,way/748614932,bank,yes,Zenith Bank,center,,,,,Zenith Bank,Q5978240,,,,,,,,en:Zenith Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3741231,6.5175212,way/760061877,bank,yes,Zenith Bank/CITM,center,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4696978,6.4474237,way/775899029,bank,yes,UBA,center,12,,,,UBA,Q513457,,,,,,,,en:United Bank for Africa,,,,,,,,,,,,,,United Bank for Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.498149,6.6232753,way/778297075,bank,yes,Access Bank,center,,,,,Access Bank,Q4672418,,,,,,,,en:Access Bank plc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.517788,6.6494464,way/778616157,bank,yes,Access Bank,center,,,,,Access Bank,Q4672418,,,,yes,,,,en:Access Bank plc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.5037548,6.6195337,way/778625558,bank,yes,Access Bank,center,,,,,Access Bank,Q4672418,,,,,,,,en:Access Bank plc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.496202,6.6241301,way/778859489,bank,yes,First Bank,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4989937,6.6233382,way/778859491,bank,yes,Union Bank,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4996201,6.6226973,way/778859497,bank,yes,Ecobank,center,,,,,Ecobank,Q930225,,,,,,,,en:Ecobank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4995095,6.6227856,way/778859498,bank,yes,Fidelity Bank,center,,,,,Fidelity Bank,Q5446777,,,,,,,,en:Fidelity Bank Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.502911,6.619127,way/778868286,bank,yes,Skye Bank,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6801781,37.1116003,node/779426341,bank,,Bankinter,,,,,,Bankinter,Q806808,,,,yes,,,,en:Bankinter,,,,,,,Bankinter,Q806808,en:Bankinter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3827387,6.600142,way/780383039,bank,yes,UBA,center,,,,,UBA,Q513457,,,,,,,,en:United Bank for Africa,,,,,,,,,,,,,,United Bank for Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3895935,6.6008843,way/780384512,bank,yes,Syke Bank,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3235027,6.649586,way/781369446,bank,yes,Sterling Bank,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3603704,6.5257946,way/783485107,bank,yes,Zenith Bank,center,,,,,Zenith Bank,Q5978240,,,,,,,,en:Zenith Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3609908,6.5253249,way/783485112,bank,yes,Sterling Bank,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3616976,6.524705,way/783485114,bank,yes,GTBank,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3520176,6.5340966,way/783485132,bank,yes,Access Bank,center,,,,,Access Bank,Q4672418,,,,,,,,en:Access Bank plc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.2977161,6.4682667,way/784955959,bank,yes,Fidelity Bank,center,,,,,Fidelity Bank,Q5446777,,,,,,,,en:Fidelity Bank Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.5835425,6.4963083,way/785246618,bank,yes,Diamond,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.456888,6.4291377,way/787960031,bank,yes,Skye Bank,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3544006,6.6265654,way/793453588,bank,yes,Zenith Bank,center,,,Lateef Jakande Road,,Zenith Bank,Q5978240,https://www.zenithbank.com/,8/10,,,,,,en:Zenith Bank,,,,+234-0803-092-8066;+234-0706-511-0844;+234-0903-326-6809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.354153,6.6273263,way/793453592,bank,yes,Standard Chartered,center,,,,,Standard Chartered,Q548278,,,,,,,,en:Standard Chartered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.353732,6.6273696,way/793453594,bank,yes,First Bank,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6730462,37.1031894,node/851554683,bank,,Santander,,,Lagos,Rua Porta de Portugal,,Santander,Q4854116,https://www.santander.pt/,19,8600-701,yes,Lagos,,https://www.santander.pt/,pt:Banco Santander Portugal,santanderpt,santanderpt,https://www.linkedin.com/company/santanderpt/,+351 282 770 940,@santanderpt,"Mo-Fr 08:30-15:00; Sa-Su off; Jan 01,Apr 25,May 25,Jun 01,Jun 26,Aug 10,Aug 24,Oct 15,Nov 05,Dec 01,Dec 08,Dec 25 off",Banco Santander (Portugal),Q4854116,pt:Banco Santander Portugal,5319,,website,website,,,,,,,,,,,yes,yes,2024-09-09,lagos@santander.pt,santanderpt,wlan,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,
Point,2.8786998,6.4182916,node/889290383,bank,,Zenith Bank,,,,,,Zenith Bank,Q5978240,,,,,,,,en:Zenith Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4426712,6.4260373,way/935412384,bank,yes,Diamond Bank,center,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4419608,6.4259388,way/935412385,bank,yes,Diamond Bank,center,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4417784,6.4259282,way/935412386,bank,yes,Diamond Bank,center,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4414941,6.4260721,way/935412387,bank,yes,Diamond Bank,center,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4406143,6.4264612,way/935412388,bank,yes,Diamond Bank,center,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4403622,6.4265732,way/935412389,bank,yes,Diamond Bank,center,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4402238,6.4265689,way/935412390,bank,yes,Diamond Bank,center,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.431122,6.4338149,way/935412395,bank,yes,Diamond Bank,center,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.443259,6.42765,way/935412396,bank,yes,Diamond Bank,center,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4427816,6.4285136,way/935412397,bank,yes,Diamond Bank,center,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4435594,6.4273835,way/935412398,bank,yes,Diamond Bank,center,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.442685,6.4292759,way/935412399,bank,yes,Diamond Bank,center,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.44055,6.4273355,way/935412400,bank,yes,Diamond Bank,center,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4386724,6.4269996,way/935412401,bank,yes,Diamond Bank,center,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4393376,6.4286948,way/935412402,bank,yes,Diamond Bank,center,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4396487,6.4287215,way/935412403,bank,yes,Diamond Bank,center,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4401744,6.428263,way/935412404,bank,yes,Diamond Bank,center,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4400296,6.4278792,way/935412405,bank,yes,Diamond Bank,center,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4399009,6.4278685,way/935412406,bank,yes,Diamond Bank,center,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4387207,6.4278579,way/935412407,bank,yes,Diamond Bank,center,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.438887,6.4273835,way/935412408,bank,yes,Diamond Bank,center,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4377926,6.4272236,way/935412409,bank,yes,Diamond Bank,center,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4378225,6.4273837,way/935412410,bank,yes,Diamond Bank,center,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4399867,6.4281937,way/935412411,bank,yes,Diamond Bank,center,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4384253,6.4282286,way/935412412,bank,yes,Diamond Bank,center,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4382594,6.4282177,way/935412413,bank,yes,Diamond Bank,center,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4406036,6.429004,way/935412414,bank,yes,Diamond Bank,center,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4375191,6.4312056,way/935412415,bank,yes,Diamond Bank,center,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4374762,6.429665,way/935412418,bank,yes,Diamond Bank,center,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4379643,6.4300808,way/935412419,bank,yes,Diamond Bank,center,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4378842,6.4298971,way/935412420,bank,yes,Diamond Bank,center,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4399706,6.4298942,way/935412421,bank,yes,Diamond Bank,center,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4395736,6.4300008,way/935412422,bank,yes,Diamond Bank,center,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4396273,6.4297183,way/935412423,bank,yes,Diamond Bank,center,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4389299,6.4297236,way/935412424,bank,yes,Diamond Bank,center,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4392357,6.429713,way/935412425,bank,yes,Diamond Bank,center,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4391069,6.4287215,way/935412426,bank,yes,Diamond Bank,center,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.438887,6.4287215,way/935412427,bank,yes,Diamond Bank,center,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4388977,6.4291426,way/935412428,bank,yes,Diamond Bank,center,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4387207,6.4290893,way/935412429,bank,yes,Diamond Bank,center,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4390721,6.4307684,way/935412430,bank,yes,Diamond Bank,center,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4236129,6.4303046,way/1002110432,bank,yes,Unity,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4235332,6.4299069,way/1002110433,bank,yes,UBA,center,,,,,UBA,Q513457,,,,,,,,en:United Bank for Africa,,,,,,,,,,,,,,United Bank for Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3875852,6.4626194,node/1366137196,bank,,First Bank of Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3852892,6.4539469,node/1366137199,bank,,GT Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4138862,6.417244,way/1466323431,bank,yes,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.440479,6.430183,node/1513600882,bank,,Enterprise Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
